name,director,year,genre,likes,rating,critics,imbdScore,Torrent720,Torrent1080,cantComent,synopsis
Clash,Thanh Son Le,2009,Action / Crime / Thriller,2,-,-,6,https://yts.mx/torrent/download/11DBF837FF70F2646CF67DDF14BE1087B64427E7,https://yts.mx/torrent/download/7CAC1C29E5F9BE19550DD7C896918913CD434C2C,0,"Trinh, a mercenary, must complete a series of organized crime jobs for her boss in order to win the release of her kidnapped daughter. She hires several mercenaries to help, including Quan, who she becomes attracted to. Trinh and Quan's relationship becomes complicated as it becomes evident that their motivations are not the same. —Anonymous"
The Eye,David Moreau,2008,Action / Drama / Horror / Mystery / Thriller,119,43%,22%,5.4,https://yts.mx/torrent/download/11AFFAE093CA952393974316AE1BC85837F60FFB,https://yts.mx/torrent/download/EC35AE7F5D1638AC2BF86B14EEDF9AB958FE10A6,12,"The violinist Sydney Wells has been blind since she was five years old due to an accident. She submits to a surgery of cornea transplantation to recover her vision, and while recovering from the operation, she realizes that she's having strange visions. With the support of Dr. Paul Faulkner, Sidney finds who the donor of her eyes and begins a journey to find out the truth behind her visions. —Genesis Rojas, Caracas, Venezuela."
Courted,Christian Vincent,2015,Comedy / Crime / Drama,1,-,-,6.6,https://yts.mx/torrent/download/F9EE8F4231DF42614DB11D813A614AC59E5AC5F3,https://yts.mx/torrent/download/A90416674B328CAD9CEFFD415BF6FE1D521A2BC9,0,"If you have to go to court, you pray not to have to appear before Michel Racine, an awfully ruthless judge. Unfortunately for him, this is what happens to Martial Beclin, a man accused of kicking to death his baby daughter. And you can easily guess what his feelings are on the first day of his trial. But neither Martial nor Michel knows it yet: this time, things may turn out differently. Why? Because judge Racine stops being himself the moment he recognizes among the jurors Ditte, a woman doctor he has been secretly in love for a couple of years... —Guy Bellinger"
Wyszynski - zemsta czy przebaczenie,Tadeusz Syka,2021,Biography / Drama / War,1,-,-,4.7,https://yts.mx/torrent/download/C77782E4A07163453DDE3610704CF2DCB62689D1,https://yts.mx/torrent/download/EBF89D0DFE8B873AC2998489C08C17740FA20CA8,1,
Marie's Story,Jean-Pierre Améris,2014,Biography / Drama,1,-,-,7.5,https://yts.mx/torrent/download/DF18B702658C31816E0119C0B6EFB5540D2593E4,https://yts.mx/torrent/download/3AD3AFEC5FCB51961C829D07D4944CE9B6DA1C6B,1,Marie Heurtin is born both blind and deaf. Sister Marguerette wins her trust and teaches her how to express herself.
Shriek If You Know What I Did Last Friday the Thirteenth,John Blanchard,2000,Comedy / Horror,3,-,-,4,https://yts.mx/torrent/download/7F507AD5AA3827FF442961CE151019F42CF9C939,https://yts.mx/torrent/download/123B15803CB87AD1CD211EB5292E7B867928A654,1,Another spoof of the Scream/I Know What You Did Last Summer horror genre involving a group of popular high school students stalked by a bumbling masked killer while a dogged reporter named Hagitha Utslay covers the story and the plight of the prime suspect and transfer student Dawson. —Anonymous
Assassination Tango,Robert Duvall,2002,Crime / Drama / Romance,0,-,-,5.8,https://yts.mx/torrent/download/6A5B5609D7B465616FE99371F97B925F6412DB2D,https://yts.mx/torrent/download/62AEEC4F774D3223D26934961672978DF3A9BF1C,1,"John J. is a seasoned hit man sent on a job to Argentina. When the General he's sent to kill delays his return to the country, John passes the time with Manuela, a beautiful dancer who becomes his teacher and guide into Argentina's sensual world of the tango. Spellbound by the rich and mysterious world Manuela has shown him, his idyll is shattered when the reality of why he's there comes crashing down around him. —Press kit"
Haruko Azumi Is Missing,Daigo Matsui,2016,Comedy / Drama,0,-,-,6.2,https://yts.mx/torrent/download/33412FC886F2E5C238D5E3EC066724950A8FB398,https://yts.mx/torrent/download/4F6E7A0BBC0B122E69C06375AEE751F836E425AC,0,"It is just another suburban town until the day two events gradually begin to change things forever. First we see a rash of graffiti featuring a local girl, Haruko Azumi, in a series of spray-painted ""Missing Girl"" posters appearing on the walls of the town. The other, more sinister event is the rise of a gang of vicious high school girls making random attacks on men. The local press covers the story, the graffiti goes viral on the internet and the entire story becomes one of the hottest topics on Twitter. On close examination it appears there is a connection, perhaps the Girl Gang have been inspired by the ""Haruko is Missing"" posters and have decided to take revenge on all men. This suspenseful tale features the daily lives of japanese women from various age groups, teenage high-school girls, young women in their 20's just starting their careers, and working women in their 30's, long considered by Japanese custom to be 'past their peek.'"
Hell Comes to Frogtown,Donald G. Jackson,1988,Action / Comedy / Sci-Fi,33,46%,56%,5.6,https://yts.mx/torrent/download/5B70740FDED9C2DDB9893C1EB78523DC0F80CE7D,https://yts.mx/torrent/download/8392DF4E40254EE97B1C549E6EC593DB954AD53A,2,"'Hell' is the name of the hero of the story. He's a prisoner of the women who now run the USA after a nuclear/biological war. Results of the war are that mutants have evolved, and the human race is in danger of extinction due to infertility. Hell is given the task of helping in the rescue of a group of fertile women from the harem of the mutant leader (resembling a frog). Hell cannot escape since he has a bomb attached to his private parts which will detonate if he strays more than a few hundred yards from his guard. —Rob Hartill"
Junction 48,Udi Aloni,2016,Action / Biography / Crime,0,-,-,6.8,https://yts.mx/torrent/download/6F58C2E7A86B31B675438A28F9230EFB5E507C20,https://yts.mx/torrent/download/5E3ED4C33BDC293DA60E9DBCDAA2236805893DA2,0,"Junction 48 is the love story of two young Palestinian hip-hop artists who use their music to fight against both the external oppression of Israeli society and the internal repression of their own crime-ridden, conservative community. It depicts a new generation of young Arabs who seek normality through their love and music - and against all odds."
The Goddess,Satyajit Ray,1960,Drama,4,-,-,7.8,https://yts.mx/torrent/download/7DE7769DF5247CEBA94E71A6E39D79FFC980618E,https://yts.mx/torrent/download/807D5DC61388AE9FCB3EC9A52255F6176BF83E5D,2,"'Devi' focuses on a young woman who is deemed a goddess when her father-in-law, a rich feudal land-lord, has a dream envisioning her as an avatar of Kali. —Anonymous"
Gasoline Alley,Edward Drake,2022,Action / Thriller,4,-,-,0,https://yts.mx/torrent/download/3C6C782BE24DE491A45E0AF813606D2959A92596,https://yts.mx/torrent/download/A25C0FEB48F1472B0FEC9BF9357FB62D7B5A30CB,6,"A man implicated in the triple homicide of three Hollywood starlets begins his own investigation. Needing assistance, he enlists the two detectives on his tail in order to expose a conspiracy more explosive than any of them imagined."
Shepherd,Russell Owen,2021,Horror / Mystery,4,-,75%,5.6,https://yts.mx/torrent/download/0905F91D969DC3FBCE767A56BF9B890958E473EA,https://yts.mx/torrent/download/2FFFD30089921E590A8D8A7476C36135044D60FF,0,"Eric Black is lost after the mysterious death of his adulterous wife. Running from his past to a new job as a Shepherd, he finds himself trapped alone on a majestic, weather-beaten island with an ominous secret. One mans spiraling madness meets a vengeful supernatural force. What starts as the perfect wind-swept escape becomes a race to save his sanity and his life. —Russell Owen"
Haze,Shin'ya Tsukamoto,2005,Horror / Mystery,2,-,79%,6.5,https://yts.mx/torrent/download/72ED49E469FE44DC06DBC04914BF7B9AB1557E90,https://yts.mx/torrent/download/225E6CA734DBC4BDD13C5B8A9E6F4EF3B4F9FD51,4,"A man wakes up to find himself locked in a very tiny, cramped concrete corridor, in which he can barely move. He doesn't remember why he is there or how he got there. He has a terrible stomach injury and is slowly bleeding to death. He begins to edge his way along the narrow maze-like corridors, only to see other people undergoing their own horrible tests though holes in the walls. Unable to find a way out, he finally gives up on the struggle and gives in. Barely clinging to his sanity he creeps forward with the last ounces of his strength and meets a woman in a place full of floating corpses. The man and the woman both try to recall where they came from, but their memories are so uncertain that they are not even sure they want to return. The man insists on giving up but the woman maintains that it was not her fault and refuses to give up. Reluctantly he agrees to help her, as she attempts to swim past the corpses. Neither of them can imagine the incredible end to the journey."
Killing,Shin'ya Tsukamoto,2018,Action / Drama,1,-,-,6.4,https://yts.mx/torrent/download/C7B99E1AAAB2FACDB25A356207AF20C282382FCA,https://yts.mx/torrent/download/FB9501C3C2B4F28B4F2388437C4B0D6DF0BD85A4,0,"Set during the tumultuous mid-19th century Edo period of Japan, Killing is the story of a masterless samurai or ronin named Ikematsu Sosuke. As the prevalent peace and tranquility are sure to be replaced by war and conflict across the land the swordsman feels restlessness creep upon him. —aghaemi"
In Old Oklahoma,Albert S. Rogell,1943,Western,2,-,-,6.5,https://yts.mx/torrent/download/2210DDABF9729A10AECEE145DA920781A421DD19,https://yts.mx/torrent/download/1132AD742FADBC70367135BDB50EAA525B1B0909,0,"Cowboy Dan Somers and oilman Jim ""Hunk"" Gardner compete for oil lease rights on Indian land in Oklahoma, as well as for the favors of schoolteacher Cathy Allen. —Jim Beaver"
Esther,Raffaele Mertes,1999,Biography / Drama / History,1,-,79%,6.8,https://yts.mx/torrent/download/143B9BF3F4F5943A40358717995DF1455F351A93,https://yts.mx/torrent/download/20D848CA6D5984952EB1507DE222B14ADCF33F7F,5,"Ahasuerus (Xerxes I), King of the Persians, whose empire now extends from India to Egypt after the defeat of the Babylonians, is holding a celebratory banquet for his people in the citadel of Susa to display his wealth and splendor. When he summons his attractive wife Vashti, to show off her beauty to the guests, the proud queen refuses to come. The king promptly bans her from ever entering his presence again, and gives orders for the most beautiful young virgins in the land to be brought to him. The young Jewess Esther, adopted daughter of her uncle Mordecai, is among the girls selected; they are told to beautify themselves in the royal harem and prepare to spend the night with the king. Esther succeeds in enchanting the king with her extraordinary beauty and charm, and he makes her his queen. The king promotes his loyal subject Haman - whose family is notably anti-Jewish - to the post of first minister of the kingdom. When the Jew Mordecai fails to kneel down before Haman like all the others, Haman's irritation with him is transformed into a deep hatred of the Jewish people. He manages to get the king to pass a law allowing the Jews of all countries to be persecuted and killed on a certain day. In his desperation, Mordecai seeks help from Esther. She places her life at risk by visiting the king without his consent, and then invites him and Haman to dine with her that evening. By revealing her Jewish origins Esther now succeeds in exposing Haman's evil plan to kill the Jews, and in obtaining the king's pardon for her people. Haman is duly hanged on the gallows he had built for Mordecai. Since the royal decree is irreversible, Ahasuerus passes another one allowing the Jews to defend themselves against their enemies, whom they end up by vanquishing. Many Jews now return to the Holy City and begin rebuilding Jerusalem. —Anonymous"
Nobody's Perfect,Ryuichi Hiroki,2013,Drama,2,-,-,6.4,https://yts.mx/torrent/download/9E0121931E08A3A99BF1E77261E65837D6DA7BD8,https://yts.mx/torrent/download/631D78CE756ACF51633E08C6DB80627FE655A868,1,"Based on a true story, and featuring the author on whose novel the film is based, the 28 grade-school students are taught by a teacher without arms and legs. The students are not only surprised, but also unsure how to help the teacher who is asking them for special assistance. —aghaemi"
Medium,Jacek Koprowicz,1985,Horror / Mystery / Thriller,4,-,-,6.5,https://yts.mx/torrent/download/9F186204ADB5AB90F10EE51EC58E80F39E703CF9,https://yts.mx/torrent/download/D0E37DE601A0690AB5F07FB93ED3C595995331CE,2,"Story of four people in Sopot in 1933, mysteriously brought together to an old villa to reenact a murder ritual that took place 50 years earlier. —Polish Cinema Database"
Red Hook Summer,Spike Lee,2012,Drama,0,34%,58%,5.1,https://yts.mx/torrent/download/51E2D8C6DC13557ECD42E816A47A38B1E2F25838,https://yts.mx/torrent/download/EED5C58FAAF704F9EF89B4A32069E1903341572C,0,"A middle-class boy from Atlanta finds his worldview changed as he spends the summer with his deeply religious grandfather in the housing projects of Red Hook, Brooklyn."
Till the End of Time,Edward Dmytryk,1946,Drama / Romance / War,1,-,65%,6.8,https://yts.mx/torrent/download/B89774238C33AFC690976407AFFBCC206D581B29,https://yts.mx/torrent/download/39AD5E2B830566E7AABE7C7BA04E66665AFCF767,0,"Three former Marines have a hard time readjusting to civilian life. Perry can't deal with the loss of the use of his legs. William is in trouble with bad debts. And Cliff can't decide what he wants to do with his life, although he gets encouragement from war widow Pat Ruscomb. —Daniel Bubbeo"
Do Not Reply,Daniel Woltosz,2019,Action / Horror / Thriller,7,-,-,4.6,https://yts.mx/torrent/download/1743588BF7B6E0F180B915AFBC3E12F0C842210A,https://yts.mx/torrent/download/D3F2277CFD7BDDDD8C03FB8ECC1E462A927A471C,2,"Chelsea, a high school introvert, is abducted through a social media app and is forced to look like other girls Brad holds captive. Chelsea desperately attempts to persuade them to escape before they all become victims in his virtual reality filmed murders. —Iron Compass Entertainment"
